id,question,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,niveau,source,difficulte_rag
L1_ENS_001,Combien d'étudiant·e·s par an le DMA de l'ENS sélectionne-t-il environ ?,MetricResult(value=1.0),MetricResult(value=0.9390017873188204),MetricResult(value=0.94999999997625),MetricResult(value=1.0),MetricResult(value=0.712777052425623),1,ENS,Faible — chiffre explicite et unique dans le paragraphe d'introduction.
L1_ENS_002,Qui assure le secrétariat pédagogique du DMA à l'ENS en 2024-2025 ?,MetricResult(value=1.0),MetricResult(value=0.6931866786453286),MetricResult(value=0.999999999975),MetricResult(value=1.0),MetricResult(value=0.9626759403096828),1,ENS,"Faible — mention explicite et unique, mais proche de la ligne sur la direction des études (Djalil Chafaï et Cyril Houdayer), risque de confusion entre les deux rôles."
L1_ENS_003,Quelle est la durée minimale du stage prévu dans la scolarité en mathématiques à l'ENS DMA ?,MetricResult(value=1.0),MetricResult(value=0.7973162675865729),MetricResult(value=0.99999999995),MetricResult(value=1.0),MetricResult(value=0.5566549449104633),1,ENS,Faible — chiffre explicite et unique en début de section.
L1_ENS_004,À quelle fréquence a lieu le séminaire « Des Mathématiques » au DMA de l'ENS ?,MetricResult(value=1.0),MetricResult(value=0.7285066408878148),MetricResult(value=0.8874999999778125),MetricResult(value=1.0),MetricResult(value=0.7113770508342818),1,ENS,Faible — information explicite dans une section très courte et dédiée.
L1_ENS_005,Quel enseignant chercheur est le référent de la filière mathématiques/informatique du DMA ?,MetricResult(value=0.0),MetricResult(value=0.0),MetricResult(value=0.0),MetricResult(value=1.0),MetricResult(value=0.09632406882075494),1,ENS,"Faible à modérée — il existe trois mentions similaires de référents pour les trois filières pluridisciplinaires (physique, informatique, biologie) sur des pages voisines, ce qui peut créer une confusion si le retrieval ramène le mauvais paragraphe."
L2_ENS_001,"Quelles sont les deux conditions alternatives pour obtenir une mineure du DENS, selon que l'étudiant appartient à la promotion 2023 et suivantes ou à une promotion antérieure ?",MetricResult(value=1.0),MetricResult(value=0.7089013485299959),MetricResult(value=0.999999999975),MetricResult(value=1.0),,2,ENS,Modérée — deux régimes de seuils ECTS différents (30 vs 24 vs 48) cohabitent sur la même page ; il faut bien associer chaque seuil à la bonne population de promotions sans les mélanger.
L2_ENS_002,Quelles sont les trois conditions requises pour obtenir une double majeure du DENS ?,MetricResult(value=1.0),MetricResult(value=0.9422393497690811),MetricResult(value=0.9999999999666667),MetricResult(value=1.0),MetricResult(value=0.48395200587641596),2,ENS,"Modérée — sur la même page que la section sur les mineures avec des seuils ECTS différents (24, 30, 48 ECTS), risque de confondre le seuil de 120 ECTS des doubles majeures avec ceux des mineures."
L2_ENS_003,"Quelles sont les obligations de validation d'enseignements de langue à l'ENS DMA, selon la règle générale et selon la condition spécifique au DENS ?",MetricResult(value=1.0),MetricResult(value=0.7617309940361059),MetricResult(value=0.94999999997625),MetricResult(value=1.0),MetricResult(value=0.535838768430505),2,ENS,"Modérée — l'information sur les langues est répétée à deux endroits différents du document avec des formulations légèrement différentes (« par année » vs « chaque année »), nécessitant de croiser les deux passages."
L2_ENS_004,"Pour la filière mathématiques/physique, quelles sont les conditions d'obtention de la première année en plus de la L3 de mathématiques ?",MetricResult(value=1.0),MetricResult(value=0.8122456800981741),MetricResult(value=0.9999999999666667),MetricResult(value=1.0),MetricResult(value=0.49053481349939865),2,ENS,"Modérée — l'information est à cheval sur un saut de page (page 19 à 20), avec un risque de tronquer la liste des cours de physique ou le bloc sur le stage de 24 ECTS selon le découpage des chunks."
L2_ENS_005,"Quelles sont les dates précises et la nature exacte du cours « Spectre des surfaces hyperboliques aléatoires » donné au Collège de France, et quels enseignants l'assurent ?",MetricResult(value=1.0),MetricResult(value=0.8428668052997413),MetricResult(value=0.99999999995),MetricResult(value=1.0),MetricResult(value=0.8049836301991573),2,ENS,"Modérée — les dates précises ne figurent que dans une note de bas de tableau courte page 22, tandis que les noms des enseignants ne figurent que dans la fiche de cours page 73 ; il faut combiner les deux sources."
