id,question,niveau,source,router_source_ok,router_diff_ok,router_pred_src,router_exp_src,router_pred_diff,router_exp_diff,retrieval_ctx_precision,retrieval_ctx_recall,retrieval_n_chunks,rerank_pre_precision,rerank_post_precision,rerank_precision_delta,rerank_pre_recall,rerank_post_recall,rerank_recall_delta,grading_performed,grading_sufficient,grading_judge_sufficient,grading_correct,grading_label,grading_verdict,rewrite_triggered,rewrite_new_query,rewrite_ctx_precision,rewrite_precision_gain,rewrite_ctx_recall,rewrite_recall_gain,gen_answer,gen_faithfulness,duree_secondes
L1_ENS_001,Combien d'étudiant·e·s par an le DMA de l'ENS sélectionne-t-il environ ?,1,ENS,1,1,ENS.pdf,ENS.pdf,1,1,1.0,1.0,1,0.876,1.0,0.124,1.0,1.0,0.0,0,,,,non_applicable,,0,,,,,,Le DMA de l'ENS sélectionne environ une cinquantaine d'étudiant·e·s par an (Source : ENS.pdf).,1.0,45.4
L1_ENS_002,Qui assure le secrétariat pédagogique du DMA à l'ENS en 2024-2025 ?,1,ENS,1,1,ENS.pdf,ENS.pdf,1,1,1.0,1.0,1,1.0,1.0,0.0,,1.0,,0,,,,non_applicable,,0,,,,,,Le secrétariat pédagogique du DMA à l'ENS en 2024-2025 est assuré par Yue Teng (ENS.pdf).,1.0,37.5
L1_ENS_003,Quelle est la durée minimale du stage prévu dans la scolarité en mathématiques à l'ENS DMA ?,1,ENS,1,1,ENS.pdf,ENS.pdf,1,1,1.0,1.0,3,1.0,1.0,0.0,,1.0,,0,,,,non_applicable,,0,,,,,,La scolarité en mathématiques comprend un stage d'au moins 4 mois (Source : ENS.pdf | p.12).,1.0,42.2
L1_ENS_004,À quelle fréquence a lieu le séminaire « Des Mathématiques » au DMA de l'ENS ?,1,ENS,1,1,ENS.pdf,ENS.pdf,1,1,1.0,1.0,3,0.571,1.0,0.429,,1.0,,0,,,,non_applicable,,0,,,,,,Le séminaire « Des Mathématiques » a lieu deux fois par mois (Source : ENS.pdf | p.13).,1.0,34.4
L1_ENS_005,Quel enseignant chercheur est le référent de la filière mathématiques/informatique du DMA ?,1,ENS,0,0,TOUS,ENS.pdf,2,1,1.0,1.0,2,0.5,1.0,0.5,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,"L'enseignant chercheur référent de la filière mathématiques/informatique est Marc Lelarge (INRIA) (Source : ENS.pdf, p.17).",1.0,36.4
L2_ENS_001,"Quelles sont les deux conditions alternatives pour obtenir une mineure du DENS, selon que l'étudiant appartient à la promotion 2023 et suivantes ou à une promotion antérieure ?",2,ENS,1,0,ENS.pdf,ENS.pdf,3,2,1.0,1.0,2,0.437,1.0,0.563,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour la promotion à partir de 2023, le candidat doit avoir obtenu un minimum de 30 ECTS dans une discipline littéraire ou scientifique distincte de celle du master 2 (Source : ENS.pdf).

Pour les promotions antérieures à 2023, il existe deux conditions selon la spécialité visée : un minimum de 24 EC",1.0,62.2
L2_ENS_002,Quelles sont les trois conditions requises pour obtenir une double majeure du DENS ?,2,ENS,1,0,ENS.pdf,ENS.pdf,1,2,1.0,1.0,2,0.765,1.0,0.235,0.667,1.0,0.333,0,,,,non_applicable,,0,,,,,,"Les trois conditions requises pour obtenir une double majeure du DENS sont :
- Un cursus complet dans une discipline (au sein d'un département de l'ENS) (Source : ENS.pdf | p.11).
- Au moins deux années complètes dans la seconde discipline (L3-M1, M1-M2 ou L3-M2 équivalent à 120 ECTS) (Source : ENS.",1.0,42.9
L2_ENS_003,"Quelles sont les obligations de validation d'enseignements de langue à l'ENS DMA, selon la règle générale et selon la condition spécifique au DENS ?",2,ENS,1,0,ENS.pdf,ENS.pdf,3,2,1.0,1.0,2,0.879,1.0,0.121,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Selon la règle générale, un enseignement de langue au moins est obligatoire pour toutes les filières chaque année (Source : ENS.pdf | p.18). Ce cours peut être validé par un cours du département des langues de l'ENS (ECLA) ou par un séjour longue durée dans un pays non francophone (Source : ENS.pdf ",1.0,78.2
L2_ENS_004,"Pour la filière mathématiques/physique, quelles sont les conditions d'obtention de la première année en plus de la L3 de mathématiques ?",2,ENS,0,1,TOUS,ENS.pdf,2,2,1.0,0.25,3,0.927,1.0,0.073,1.0,0.25,-0.75,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour la filière mathématiques/physique, les conditions d'obtention de la première année en plus de la L3 de mathématiques sont les suivantes :

*   **L'obtention de la L3 de physique** (ENS.pdf, p.20). Cette condition comprend :
    *   Des cours de physique de niveau licence recommandés par la FIP ",,56.3
L2_ENS_005,"Quelles sont les dates précises et la nature exacte du cours « Spectre des surfaces hyperboliques aléatoires » donné au Collège de France, et quels enseignants l'assurent ?",2,ENS,0,1,TOUS,ENS.pdf,2,2,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,Le cours « Spectre des surfaces hyperboliques aléatoires » est assuré par Nalini Anantharam et Thibaut Lemoine (Source : ENS.pdf). Il se déroule du 6 novembre 2024 au 22 janvier 2025 (Source : ENS.pdf) et a pour nature d'être un cours destiné aux normaliens de 2A (Source : ENS.pdf).,1.0,26.9
